estimator,n_nearest,max_iter,rmse
elasticnet_weak,5,10,22.802906885298373
elasticnet_l2,5,10,54.354212688463534
elasticnet_default,5,10,61.50063633549709
elasticnet_weak,5,15,64.0321235306015
elasticnet_l2,5,15,64.31419071962529
elasticnet_l1,5,10,66.942377728356
elasticnet_default,5,15,68.3767355039276
elasticnet_l1,5,15,69.19780402697572
ard_sparse,5,15,69.67866057542776
ard_dense,5,15,71.5123284776168
ard_default,5,15,71.5123284776168
elasticnet_strong,5,15,89.39342926313365
elasticnet_strong,7,5,91.52160565628802
ard_sparse,5,10,91.71605615111737
ard_dense,5,10,94.02884943679008
ard_default,5,10,94.02884943679008
elasticnet_strong,5,5,95.43389510685502
elasticnet_strong,5,3,96.26211136727676
ard_sparse,7,5,98.64609477865699
ard_default,7,5,99.6675176402284
ard_dense,7,5,99.6675176402284
elasticnet_strong,7,3,100.2608326303608
elasticnet_strong,7,15,100.26816551177627
elasticnet_strong,5,10,100.33105361379333
elasticnet_strong,7,10,100.38413208657744
elasticnet_l1,7,5,101.41803169602136
elasticnet_default,7,5,103.85582779819717
elasticnet_weak,5,3,112.708293713662
elasticnet_l1,5,3,115.40902797935593
elasticnet_default,5,3,116.04546586131102
elasticnet_l2,5,3,116.84834117107724
elasticnet_l2,7,5,119.62370650841687
elasticnet_l1,7,10,123.82216736790865
ard_sparse,5,3,124.36657191806341
ard_default,5,3,125.33192595057942
ard_dense,5,3,125.33192595057942
elasticnet_l2,7,10,125.84797585558407
ard_sparse,7,15,127.03718389896393
elasticnet_weak,7,10,127.46450513731946
elasticnet_l1,7,15,129.49647171310778
elasticnet_default,7,10,129.85407610918125
elasticnet_default,7,15,131.80676706172693
ard_default,7,15,133.62325782097355
ard_dense,7,15,133.62325782097355
elasticnet_l2,7,15,134.63619196078753
ard_sparse,7,10,137.19953717358757
ard_dense,7,10,138.05651973032025
ard_default,7,10,138.05651973032025
elasticnet_l1,5,5,139.7261449256112
elasticnet_default,5,5,141.22945668918467
elasticnet_l2,5,5,141.8546140653908
elasticnet_weak,7,5,143.01608737831376
elasticnet_weak,5,5,153.1087468754537
elasticnet_weak,7,15,153.34628773018508
ard_sparse,5,5,157.99919537120985
ard_dense,5,5,159.1418204037086
ard_default,5,5,159.1418204037086
ard_dense,7,3,180.45030682287023
ard_default,7,3,180.45030682287023
elasticnet_l1,7,3,182.81484820137243
ard_sparse,7,3,185.13394498118902
elasticnet_default,7,3,191.20307356609467
elasticnet_l2,7,3,206.2768797755351
elasticnet_weak,7,3,231.60593231563223
