gene,CC1_1,CC1_10,CC1_11,CC1_12,CC1_13,CC1_14,CC1_15,CC1_16,CC1_17,CC1_18,CC1_19,CC1_2,CC1_20,CC1_3,CC1_4,CC1_5,CC1_6,CC1_7,CC1_8,CC1_9,CC2_1,CC2_10,CC2_11,CC2_12,CC2_13,CC2_14,CC2_15,CC2_16,CC2_17,CC2_18,CC2_19,CC2_2,CC2_20,CC2_3,CC2_4,CC2_5,CC2_6,CC2_7,CC2_8,CC2_9,F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F3,F4,F5,F6,F7,F8,F9,GC1,GC10,GC11,GC12,GC13,GC14,GC15,GC16,GC17,GC18,GC19,GC2,GC20,GC3,GC4,GC5,GC6,GC7,GC8,GC9,Viv1,Viv10,Viv11,Viv12,Viv13,Viv14,Viv15,Viv16,Viv17,Viv18,Viv19,Viv2,Viv20,Viv3,Viv4,Viv5,Viv6,Viv7,Viv8,Viv9
Clip3,0.0121419657994593,0.0140744153279943,0.0806929161289959,0.000593192067914,0.0132664650829517,0.0688570515170394,0.0108726617974241,0.0136125010740861,0.0870866441799936,0.0102579833879661,0.071156984241468,0.0141100487865785,0.0137093500924548,0.0141206726569319,0.0135126721007131,0.0119051405479781,0.0141278415692031,0.077345325216738,0.0006761708726324,0.0141434506784069,0.5393473673570283,0.0127323342751876,0.0177716973197276,0.6802853770688211,0.0006938519702488,0.0232336171759415,0.0005809612050897,0.0008198957333827,0.0674518170813557,0.0199011345122589,0.0233218211464962,0.000621785700361,0.0240938892854685,0.0106713602272105,0.5303259047609723,0.0216177599484371,0.009367525280207,0.0005887303959793,0.0269786192423015,0.0047199240310308,0.01195120041343,0.0123660283733924,0.0185984757621233,0.0124872105558307,0.0034077902935706,0.0432100939383389,0.0067511601538404,0.0081711703030725,0.0037610468619959,0.170035496825579,0.0003352300928674,0.0142535332771888,0.0500112129237407,0.0005333611865649,0.013975280625372,0.0122277624848419,0.0119612242228959,0.0052144083229444,0.0142553639644762,0.0076086309986125,0.5656053435194799,0.0248631002041589,1.0,0.0933179970471666,0.0361915075014627,0.5188195226069162,0.0746338130135148,0.0010254257223797,0.0157649309640238,0.0007009155464792,0.0390081975230248,0.0157655464300965,0.1525106878174232,0.0236187510081929,0.0379858199981065,0.0005273483027294,0.5055891394065111,0.0007070845255577,0.5104894652010231,0.0,0.0205000796386665,0.0144878444240624,0.0035088707577186,0.5008420637266086,0.0200377164928951,0.0344440628654462,0.0163847289659543,0.5134828331198592,0.0171960610619724,0.0198017924195887,0.458219224398281,0.0199888512311488,0.020929488662289,0.0042111226956439,0.0005255948947923,0.5263007194381926,0.0043083843725148,0.5546380256431215,0.5318148199066168,0.5141078508391262
Rcvrn,0.0059027790103764,0.0070541373735947,0.0611653619882751,0.0003596531263177,0.006669235733032,0.0519033081513443,0.0052527273015542,0.0068340847710744,0.0599607531289674,0.0052360168595829,0.0537031006813684,0.0070711128949863,0.0068802229414453,0.0070761740298188,0.0067865269717387,0.0057814931252214,0.0070795892476632,0.0585457335732938,0.0003886811911768,0.0070870253141501,0.5354579022095514,0.0096872625439274,0.0133270353235193,0.6709543545887279,0.0004004786740497,0.0257328451371556,0.0003522375381967,0.0008596250589205,0.0518140512501252,0.0146245093021709,0.0170837863504359,0.0003769894830538,0.0178933549200386,0.0052820299212804,0.5263602679781674,0.0158256290043269,0.0046384972101627,0.0003569480087905,0.0198254560726539,0.0063365573578709,0.0058050818748016,0.0062402742111329,0.0092093669731715,0.0060795900371133,0.0041644158925161,0.0275516384248797,0.0085204754274588,0.0109698988725128,0.0016106388547769,0.1214278553897702,0.0001611928815033,0.0071394678663104,0.0553908927543385,0.0003233775847327,0.0070069103198125,0.0059467182730391,0.0058102153924315,0.0049692039645268,0.0071403399924649,0.0039738845843001,0.5619375844383315,0.0275376107963816,1.0000000000000002,0.0695578020298864,0.0230678408719916,0.5147567330691059,0.0476265631920139,0.0006217169561242,0.0074546604333286,0.0009973487588765,0.0286654887531658,0.0074552810960151,0.1173657402145235,0.0173030181991502,0.0242141306632375,0.000319731965402,0.5014146407180322,0.0004093079248127,0.5063563418245223,0.0,0.0150004135167958,0.0109552120839183,0.0042961131135985,0.4966274836750786,0.0146590375209777,0.0219514924372681,0.0119619318668498,0.5082466746473226,0.012560961665722,0.0144848479987396,0.4523882893531394,0.0146229588941622,0.0153174585373452,0.0056534851676738,0.0003186688718772,0.521202513927267,0.0057840601917978,0.5416399257864335,0.5317333109392128,0.5100052788669421
Snap25,0.00936645366231,0.0101368950851408,0.065795517739177,0.0003645406703762,0.0093199444050194,0.0557229203260208,0.0083156844492601,0.0096698351811387,0.0642710206758548,0.0062779487104434,0.0576802168286446,0.0101729254946915,0.0097677630819109,0.0101836677132427,0.0095688941291453,0.0091704023753605,0.0101909164860372,0.0629466396327942,0.0003867412374342,0.0102066994781934,0.5369994000383604,0.0110037286530449,0.0151716493321024,0.671002467676709,0.0003990646575321,0.0179635605502071,0.0003570243073389,0.0008978862333667,0.0560057663705808,0.0167010851829307,0.0194765930896128,0.0003821126213589,0.0204005630654626,0.0083906488054054,0.5279319546391225,0.0180362048663132,0.0074096915907919,0.0003617987913693,0.0226405292525399,0.0072058550119826,0.0092085321602634,0.0084094769761223,0.0147113528209349,0.0096522579774153,0.0044115622425647,0.0276268880813142,0.0090496974675695,0.0124748339369563,0.0024284690798673,0.1242947836268476,0.0001491113940429,0.0103180083793247,0.0386672227893636,0.0003277721584962,0.010036656037962,0.0094374788189606,0.0092168301805701,0.0056467545505453,0.0103198594601724,0.0035990829638905,0.5633912142938022,0.0192234296795491,1.0,0.077317570132154,0.023128794478781,0.5163669239344246,0.0477658193335105,0.0006301658442127,0.0107482402686418,0.0010528681028977,0.0327357834430653,0.0107488588717729,0.1269141199743474,0.0197275783690271,0.0242787390772679,0.0003240769966375,0.5030691048720126,0.0004082875203644,0.5079944078488983,0.0,0.0170914655826295,0.0124556635478166,0.0045517874886243,0.4982978331325072,0.0167006448592801,0.0220088867012336,0.0136128917787809,0.5103073251500563,0.0142986847524257,0.0165012258142538,0.4546830096705628,0.0166593406223032,0.01745443124449,0.0064290737272422,0.0003229994560913,0.5232088740869585,0.0065775620370427,0.5417069472434419,0.5317276526690078,0.5116312365623743
Slc6a6,0.0111023861667353,0.0116373103786215,0.0649798373535049,0.0009460275013498,0.01057284104249,0.0549615375678019,0.0098254474306648,0.0110287412715207,0.0691776012409348,0.0066091854433056,0.0569082830127437,0.0116842572348617,0.0111563392404805,0.0116982541168376,0.0108972172306964,0.0108641364355353,0.0117076991133987,0.0621463164897215,0.0010624919441435,0.0117282640160195,0.5376247716150869,0.0115882385099218,0.0160658628261296,0.6727379046445126,0.0010914933651856,0.0196516320814501,0.0009265216225241,0.0011683260438629,0.0560680324376905,0.0178231421728348,0.0211827674482933,0.000991628857338,0.0216833188870115,0.0101779210212797,0.5285695735490633,0.0196888047403861,0.0088634786885404,0.0009389119909097,0.0241616258654059,0.0066134999377202,0.0109104733463774,0.0093865213744978,0.0175977313779153,0.0114497075350829,0.0034853196569556,0.0306752320442476,0.00673020827277,0.0114493440858771,0.0026710568571652,0.1316481143760139,0.0005032638170845,0.011873297143448,0.0423008586601878,0.0008506087284972,0.0115067010351187,0.0111886989104247,0.0109205574480342,0.0046440303387002,0.0118757090623667,0.0031186804321645,0.563980938637037,0.0210298936199356,1.0,0.0779544620057612,0.0257361010947882,0.5170201636480691,0.0527887822337638,0.0016353572248092,0.0120844154978182,0.000897964246687,0.0349351264336527,0.0120850332654065,0.1257689719291926,0.0214430879935555,0.026998797574326,0.000841019332788,0.5037403058541193,0.0011131980645374,0.5086589562597367,0.0,0.0187089263744792,0.0131480616186117,0.0035834227269427,0.4989754786369989,0.0183035692792763,0.0245063865416029,0.0151009688422053,0.5114207770213629,0.0158122695258661,0.0180967329474481,0.4559229388231148,0.0182607287528655,0.0190853923537888,0.0059005737173467,0.0008382229836469,0.5242929907148678,0.0060368555917369,0.5441244082505954,0.5318935171877481,0.5122908727348549
Scd2,0.0102940708220794,0.0113521034667788,0.0769275181708062,0.0002165854901556,0.0104654311069851,0.0651585537785755,0.0091100130297716,0.0108451828933299,0.0535054797204476,0.0071638199245432,0.0674454865228874,0.0113912088485822,0.0109514683337857,0.0114028678489404,0.0107356271478623,0.0100731507083935,0.0114107352595881,0.0735988489490986,0.0001111005800015,0.0114278652323518,0.5361146483255187,0.0094025545191095,0.0125049642380647,0.6749985693986758,0.0001054760906017,0.0269900160930057,0.0002227141832651,0.001263915065013,0.0650469076549623,0.0133014829306739,0.0150151585109287,0.0002022576703876,0.0163971287093,0.0093299243302536,0.5270298758691477,0.0138675851693874,0.0084734176235412,0.000218821163831,0.0178491862651347,0.0059072569227963,0.0101161172022465,0.0094772609232286,0.0163169628323049,0.0106161290078092,0.0025934436471451,0.0343310459097161,0.0051765608463439,0.0098509777732211,0.0024760127692475,0.0985460302085451,0.0002195563921556,0.0115486736586542,0.0575047975148185,0.0002465658043434,0.0112433096378879,0.0103741054187706,0.0101254678146196,0.0037886294213976,0.0115506827177851,0.0042563295816576,0.562556894919211,0.0288469161263366,1.0,0.0899820122807117,0.0287470179689514,0.5154427454507002,0.0593319384536313,0.0,0.0088578708200348,0.0019955885857449,0.0255789031555408,0.0088584906052598,0.1483393520706822,0.0152151212786854,0.03017458336347,0.0002495787659194,0.5021195154747959,0.0001012667157833,0.5070542302542698,0.0005138247112533,0.0131149008589182,0.0104833085150921,0.002671539310011,0.49733912627228,0.0128035296353947,0.0273567409152719,0.0103434823626354,0.5066840422956012,0.0108898612635737,0.0126446502609552,0.4506481571951625,0.0127706220897201,0.0134040796446846,0.005325852329521,0.0002504573710757,0.5196810510248584,0.0054369927329545,0.5472735107503264,0.5317606450331692,0.5106980086141044
Unc119,0.0163568084449974,0.0158707346225984,0.0660502982191397,0.0013587548458899,0.014301204893644,0.0558896647987768,0.0147246161147973,0.0149734168011296,0.0739694246418466,0.0084569075643615,0.0578640683654421,0.0159399564254713,0.0151615563734393,0.0159605944294308,0.0147794883476373,0.0160522759150081,0.0159745208079459,0.0631765204922104,0.0006240236468363,0.016004843171344,0.5387727498638213,0.0093065049946032,0.0132045371719495,0.6774384957724305,0.0006122010393542,0.0197835196498856,0.0013861536725974,0.0001431719756216,0.0562171516644603,0.0164336979837972,0.0175552537601196,0.0012947011489757,0.0180948591225617,0.0143257467931192,0.5297400339070882,0.016243391253979,0.0137540689132234,0.0013687496089675,0.0213222579228861,0.0069037149702816,0.0161115040896614,0.012552010319638,0.0246592056831871,0.0168007571306453,0.0048744640795423,0.0386737397731383,0.0092514644403302,0.0099865813536594,0.0055798223267604,0.1336910697202708,0.0008519964289142,0.0162186903884084,0.0394872086475702,0.0014927843067203,0.0156781548642638,0.0164671340183931,0.0161243936613505,0.0073644447224443,0.0162222466941829,0.0033102573057828,0.5650634801914942,0.0209825379305929,1.0,0.0821550031427243,0.0324823457710132,0.5182192987069391,0.0663939406364195,0.0003904915952995,0.014537197422481,0.0,0.029631327699844,0.0145378136562853,0.1277030861748479,0.0177838436446595,0.0340651852401248,0.0015062539992993,0.504972411943784,0.0006033529853026,0.5098788503983014,0.0026875872354291,0.0153829509752439,0.0106644216573819,0.0050067944068872,0.5002194147678691,0.0150270031513925,0.0309408504377601,0.0122147700124353,0.5087356457569503,0.012839369738083,0.0148453782505855,0.4529328028154695,0.0149893844879251,0.0157135292423451,0.0064492221844759,0.0015101818759265,0.5216786024984709,0.006536102322948,0.550672324408389,0.5320568433802766,0.5135017496059305
Dync1h1,0.0119384245127076,0.0118541094595002,0.0456877971283721,0.0040994435403459,0.0112379683890681,0.0394099613096655,0.0112767471908728,0.0115018546707962,0.0354536877521084,0.0089437069004462,0.040629863742771,0.0118812834562283,0.0115757115180639,0.0118893851962697,0.0114257253164311,0.0118149695343165,0.0118948521929167,0.0439122085402668,0.0054311645167571,0.0119067556650826,0.5351607409916791,0.0054677080286466,0.0071616437680888,0.6625597761254902,0.0055149678554873,0.0208650356153376,0.004014918250292,0.0034997978597172,0.0407168937666008,0.007295599606931,0.0113209924798786,0.0042970489841307,0.0092867907018835,0.010317400426897,0.5260572871282728,0.0109973626352212,0.0077082656980457,0.004068609729206,0.0098901499217762,0.0029069737474303,0.0118389801482967,0.01055129734529,0.0153041479435368,0.0121183976518508,0.0059567463954896,0.0150762771613145,0.0082870415292224,0.0050325762450092,0.0075695231398579,0.0598576285650658,0.0038152028681391,0.011990704411513,0.0449127542611236,0.0036859630956019,0.0117785095544746,0.011983149591109,0.0118442054744528,0.0079182770073011,0.0119921004895905,0.0069233166262381,0.5616573619105314,0.0223283988601083,1.0,0.053512171195009,0.0132328468571718,0.5144463295968449,0.0233297106030817,0.0070865324758917,0.0068197427729014,0.0014234568007391,0.0143000988381221,0.0068203638326173,0.0837805089248424,0.011377384448151,0.0137041226704946,0.0036444091384075,0.5010957024920194,0.0055776863777687,0.5060405647370287,0.0,0.0107850963706999,0.0060578066891022,0.0060271984613884,0.4963054831702673,0.010697285842996,0.0127738808779371,0.010003522152334,0.5009739707755712,0.0101576077453274,0.0106524798986543,0.4442894771989327,0.0106880055089997,0.0108666483570768,0.0025936059654696,0.0036322916519635,0.5141214182819073,0.002653508866329,0.5299462909942396,0.5334446379511819,0.5096918359545012
Icmt,0.0191622504437968,0.0303614124157868,0.072244757792624,0.056296294074036,0.0300175982532593,0.065016236651169,0.0165821013362558,0.0301648499871701,0.0176848064054462,0.0287373726195801,0.0664208752532076,0.0303765758343218,0.030206063000405,0.0303810967031634,0.0301223688875148,0.0186808492504872,0.0303841473533536,0.0702002825915683,0.0455258245221142,0.0303907896346595,0.5730311294435626,0.0479961228167603,0.0487594520934097,0.6711430168755681,0.0461295450927378,0.0547224534840177,0.0562636160681515,0.0503085049287973,0.0831713464929678,0.0533159802326601,0.054237278765996,0.056372689574728,0.0497170957831764,0.0329801121634104,0.5646693326742592,0.0544829052148815,0.0434166630064746,0.0562843735297678,0.0528197156194595,0.0326581743335495,0.018774476404068,0.0296344275133459,0.0322865755788995,0.0198640389425384,0.0254113630935774,0.0421295876488721,0.0161915163129032,0.0165326617894707,0.0021261263299537,0.0,0.0338844113828251,0.030437634049574,0.0547351658791462,0.0561364399475627,0.0303192267552605,0.019336651722659,0.0187948520768825,0.0089626886067695,0.030438413078011,0.0276099704329048,0.5973690744171002,0.0547232270647493,1.0,0.0790556542476731,0.0407798578277092,0.5540043182048514,0.0481726179811289,0.0574511213423128,0.0877339973566748,0.0461736833389773,0.0519762162351221,0.0877345678187439,0.1161060470183862,0.0541944787611724,0.0411249183476567,0.0561203749277698,0.5417413647952611,0.0465813703139541,0.5462833698150459,0.0547114235571868,0.0546440096668758,0.0482620358458966,0.025132618464382,0.537341403961726,0.0547106555230931,0.0404438103689687,0.0552372037216481,0.5200480959114838,0.0551202568526983,0.0547446620437503,0.4655302370601462,0.0547176990498927,0.0545821138771519,0.035035484345498,0.0561156902317093,0.5326930123988599,0.0345810414379762,0.5419027320596768,0.5475273166925981,0.549637172484694
Gnb5,0.0211375225367925,0.0173079324308249,0.0299326142130421,0.0257560313365053,0.0156834736619059,0.0257827350657932,0.020102175430541,0.0163792110586192,0.0297554437998118,0.0096346426843319,0.0265891352035186,0.0173795767983083,0.0165739349764787,0.0174009370732279,0.0161784956653348,0.0209443486884352,0.0174153508350577,0.0287588851973972,0.0234668503712001,0.017446734394227,0.5388335717437504,0.0077977000182998,0.0110637688162268,0.6552442062944621,0.0242447394963237,0.0216373565323656,0.0253860081054304,0.0142377602950074,0.045971637673186,0.0164919252583048,0.0306113113997532,0.0266210813675742,0.0151612537029694,0.0186184687793123,0.5298020469281851,0.0312396375521865,0.0171752826871703,0.0256210513037,0.019579480146729,0.007261260032682,0.0209819188436806,0.0138730622935386,0.0264039747780283,0.0214191321109248,0.0193651578529158,0.0048250914337737,0.0312238776262401,0.0068599809876157,0.0143013665365609,0.033814546509903,0.0084669826794792,0.0176680656506923,0.0375738352524692,0.0239459533107108,0.0171086129331615,0.0212075052594455,0.0209900950742033,0.0225266486712862,0.0176717464169714,0.0043078744244679,0.5651208351217953,0.0226071307364628,1.0,0.0424230239753568,0.0054212665865115,0.5182828309634514,0.0021558872161263,0.038832499914534,0.0146671500656416,0.0,0.0248273873684383,0.0146677662181833,0.0551132903108933,0.0305018266008769,0.0052688534850463,0.0237640440916451,0.5050376910627289,0.0248269126789895,0.5099434825068833,0.0078100492116232,0.0316517517236074,0.0089354662143464,0.0197236838159367,0.5002853206629281,0.0318222355399988,0.0055696986222423,0.0331691751923445,0.5063035756457667,0.0328700185805882,0.0319092261160507,0.4502244732418093,0.0318402532743006,0.0314934188421709,0.0073204187533002,0.0237109978201249,0.5193106082315238,0.0073091100637024,0.5197557135548284,0.5356232626604726,0.5135659039640315
Cst3,0.0450896594872892,0.0343688794782476,0.0874948546436647,0.0394076793552963,0.0326887729401608,0.0767137452807041,0.0453478138587275,0.0334083436497254,0.0311636652140161,0.0264327320558688,0.0788087190779261,0.034442978108837,0.0336097380672244,0.034465070105405,0.0332007525116775,0.045137825627031,0.034479977627807,0.0844455849104636,0.0429083141715652,0.03451243626816,0.5445130389228279,0.0373592710088173,0.0366411065930483,0.6620009907744716,0.0441847807379542,0.0081603859342506,0.0385951433378894,0.049724376401598,0.1053029305486823,0.017149475414722,0.0478658888436873,0.0413072474042018,0.0357401250088034,0.03271610611044,0.5355927413033986,0.0494140439913352,0.0220489915629198,0.0391112759701183,0.023248381499758,0.0113748091533981,0.0451284578509937,0.0308163437749413,0.0437765175855665,0.0450194427047607,0.0402585855993669,0.0202668271378658,0.0641585599857419,0.0196921607522285,0.0467941927251165,0.0158877181858389,0.0182944855546665,0.0347413494903268,0.0175655299563214,0.0354329192138787,0.0341627320538871,0.0450722099327688,0.0451264191823785,0.0552342415484108,0.034745156345637,0.020923489007351,0.57047656310297,0.0087327122441346,1.0000000000000002,0.1046715894144458,0.0199439561443946,0.524215389544279,0.0217123899285518,0.0681223675365624,0.0268019570220564,0.0390738799238339,0.0336146727706228,0.0268025655864089,0.1529125724160451,0.0475961253549114,0.0200264986141069,0.0350334637743919,0.511133369360733,0.0451400898938743,0.5159787438278758,0.0,0.0504294667513669,0.0371090915894541,0.0409811561210456,0.5064395264903764,0.0508495278882697,0.01986356970323,0.0541683003892623,0.5107522766517677,0.0534311977767898,0.0510638670616276,0.455178503326518,0.0508939224244518,0.050039344735136,0.0101486203315082,0.0349169791794272,0.5236421028003402,0.0103830166915074,0.5291679038660884,0.5402258968054324,0.5195565535732555
